date,open,high,low,close,amount,vol
20191213,14.24,14.27,14.01,14.16,7305517.6,5177752
20191216,14.17,14.29,13.94,14.25,7446371.2,5275302
20191217,14.29,14.44,14.14,14.39,8101016.0,5645030
20191218,14.37,14.56,14.35,14.4,6779229.6,4700511
20191219,14.36,14.63,14.32,14.54,5183784.0,3583304
20191220,14.57,14.99,14.57,14.77,11437342.4,7730601
20191223,14.78,14.78,14.12,14.13,9629167.2,6700236
20191224,14.07,14.42,14.07,14.34,4012954.4,2808208
20191225,14.34,14.41,14.17,14.23,4265490.4,2987017
20191226,14.24,14.42,14.23,14.41,5661593.6,3943429
20191227,14.44,14.52,14.21,14.26,4486856.0,3120660
20191230,14.21,14.39,14.02,14.37,4877257.6,3428403
20191231,14.37,14.79,14.28,14.74,10070296.8,6886888
20200102,14.72,14.92,14.61,14.83,8480180.0,5741334
20200103,14.83,14.94,14.58,14.71,6325554.4,4301855
20200106,14.62,14.74,14.46,14.58,7850426.4,5380746
20200107,14.63,14.84,14.58,14.82,7473808.8,5073798
20200108,14.8,14.8,14.43,14.5,7193424.0,4933257
20200109,14.6,14.93,14.6,14.87,9133953.6,6158538
20200110,14.88,15.09,14.79,14.98,6759204.0,4526665
20200113,14.98,15.04,14.75,14.95,7182282.4,4819557
20200114,15.04,15.25,14.91,15.15,8114232.0,5356583
20200115,15.14,15.24,14.9,14.95,6085040.8,4042338
20200116,14.97,15.08,14.84,14.94,4256408.0,2851853
20200117,14.9,14.97,14.72,14.84,4503291.2,3037080
20200120,15.24,15.45,14.88,15.27,11323180.8,7474377
20200121,15.62,16.48,15.61,15.93,29546185.6,18517478
20200122,16.38,16.38,15.21,15.58,16295022.4,10438316
20200123,15.52,16.0,15.11,15.47,14500041.6,9332399
20200203,16.0,16.0,13.92,13.93,22603056.0,15431567
20200204,14.0,14.36,13.77,14.31,23382627.2,16577415
20200205,14.2,15.56,14.03,15.53,26622219.2,18095985
20200206,15.59,16.11,15.26,15.57,44457712.0,28252625
20200207,15.81,16.08,14.67,14.96,41019398.4,26856547
20200210,15.52,15.56,14.74,14.96,33707904.0,22256215
20200211,15.06,15.06,14.0,14.35,35518224.0,24759239
20200212,14.31,14.45,14.09,14.39,17272788.8,12096014
20200213,14.41,14.41,14.06,14.16,14014201.6,9897782
20200214,14.16,14.31,14.07,14.13,10414796.0,7360141
20200217,14.17,14.37,14.17,14.34,15541433.6,10877099
20200218,14.6,14.6,14.32,14.47,17063249.6,11818839
20200219,14.81,14.81,14.45,14.53,17484267.2,11986992
20200220,14.56,14.56,14.18,14.39,14145329.6,9871986
20200221,14.35,14.4,14.26,14.33,13606593.6,9498889
20200224,14.35,14.58,14.3,14.47,12905345.6,8927441
20200225,14.15,14.65,14.1,14.48,13878595.2,9643249
20200226,14.31,14.47,14.17,14.26,12185272.0,8542251
20200227,14.29,14.44,14.2,14.22,6837291.2,4799236
20200228,14.01,14.31,13.58,13.62,13880680.0,9997532
20200302,13.57,13.85,13.57,13.8,10136572.8,7369678
