date,open,high,low,close,amount,vol
20191219,4.52,4.53,4.44,4.47,893169.1,1999987
20191220,4.47,4.47,4.36,4.37,1220618.7,2762710
20191223,4.4,4.4,4.27,4.28,1341680.6,3096342
20191224,4.29,4.34,4.27,4.33,752694.85,1743653
20191225,4.31,4.35,4.28,4.28,679712.95,1577405
20191226,4.3,4.42,4.29,4.38,1574986.7,3600290
20191227,4.39,4.4,4.35,4.36,917076.9,2100950
20191230,4.32,4.38,4.29,4.37,855035.8,1972357
20191231,4.38,4.38,4.34,4.38,594802.1,1364824
20200102,4.41,4.46,4.36,4.43,1681673.0,3810444
20200103,4.41,4.46,4.4,4.44,1620992.5,3663659
20200106,4.6,4.6,4.46,4.49,2225458.0,4937593
20200107,4.47,4.59,4.47,4.58,2052627.2,4501535
20200108,4.58,4.64,4.53,4.53,1557186.7,3403475
20200109,4.55,4.59,4.54,4.59,966012.8,2113243
20200110,4.88,5.04,4.75,4.86,8250240.8,16819887
20200113,4.89,5.25,4.86,5.17,8802210.4,17315058
20200114,5.14,5.16,4.95,5.02,4623056.0,9174870
20200115,5.01,5.07,4.92,4.99,2511630.2,5029899
20200116,4.94,4.98,4.77,4.79,3856572.4,7969654
20200117,4.84,4.85,4.81,4.83,1608369.5,3326001
20200120,4.8,4.93,4.79,4.92,2303707.6,4723788
20200121,4.9,4.91,4.8,4.83,1263339.0,2607769
20200122,4.76,4.8,4.7,4.76,1219298.7,2568062
20200123,4.72,4.85,4.58,4.67,2313085.2,4948162
20200203,4.2,4.27,4.2,4.2,1700860.8,4047700
20200204,3.97,4.27,3.97,4.18,2698024.2,6448317
20200205,4.24,4.32,4.17,4.27,1947989.8,4554879
20200206,4.3,4.48,4.2,4.45,2761613.0,6353669
20200207,4.49,4.59,4.36,4.59,2892486.6,6476610
20200210,4.59,4.59,4.5,4.55,2261075.4,4985097
20200211,4.53,4.55,4.41,4.42,1619199.8,3616309
20200212,4.44,4.5,4.4,4.5,1518140.2,3402356
20200213,4.5,4.5,4.4,4.44,1459712.8,3281909
20200214,4.46,4.46,4.37,4.4,1511095.0,3425173
20200217,4.41,4.55,4.39,4.52,2213737.0,4934596
20200218,4.52,4.57,4.49,4.57,1645091.0,3622148
20200219,4.73,4.86,4.62,4.68,4354635.6,9234028
20200220,4.62,4.7,4.59,4.7,3150880.4,6783324
20200221,4.72,4.72,4.65,4.69,2981430.4,6377653
20200224,4.67,4.7,4.58,4.65,2874176.6,6209339
20200225,4.55,4.59,4.43,4.54,2879970.0,6363735
20200226,4.5,4.63,4.43,4.54,2934674.6,6437067
20200227,4.54,4.67,4.49,4.6,2050917.6,4460788
20200228,4.49,4.52,4.34,4.36,3073333.4,6962887
20200302,4.36,4.62,4.36,4.61,3656590.0,8050321
20200303,4.64,4.79,4.59,4.67,6179470.0,13213400
20200304,4.73,4.97,4.7,4.86,7121441.6,14707377
20200305,4.83,4.94,4.81,4.84,5731823.6,11786041
20200306,4.78,4.96,4.78,4.88,4023635.6,8240100
