date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191217,11.06,11.24,10.94,11.15,21048540.8,18990588,,,,0,0,0,0,0,0,0
20191218,11.08,11.34,11.07,11.22,15555867.2,13856627,0.0063,12.26,10.04,0,0,0,0,0,0,0
20191219,11.22,11.53,11.2,11.38,19017940.8,16673939,0.0143,12.34,10.1,0,0,0,0,0,0,0
20191220,11.37,11.62,11.31,11.5,19975328.0,17379202,0.0105,12.52,10.24,0,0,0,0,0,0,0
20191223,11.51,11.9,11.51,11.53,28358259.2,24246039,0.0026,12.65,10.35,0,0,0,0,0,0,0
20191224,11.5,11.66,11.28,11.62,20218601.6,17628447,0.0078,12.68,10.38,0,0,0,0,0,0,0
20191225,11.63,11.69,11.42,11.59,14706150.4,12749505,-0.0026,12.78,10.46,0,0,0,0,0,0,0
20191226,11.59,11.79,11.57,11.73,15893259.2,13594164,0.0121,12.75,10.43,0,0,0,0,0,0,0
20191227,11.73,11.82,11.54,11.54,17934982.4,15394175,-0.0162,12.9,10.56,0,0,0,0,0,0,0
20191230,11.71,12.47,11.71,12.27,41957043.2,34545570,0.0633,12.69,10.39,0,0,0,0,0,0,0
20191231,12.35,12.73,11.97,12.55,40940899.2,32922671,0.0228,13.5,11.04,0,0,0,0,0,0,0
20200102,12.8,13.1,12.59,12.76,44205011.2,34553617,0.0167,13.81,11.3,0,0,0,0,0,0,0
20200103,12.63,12.84,12.53,12.64,24776630.4,19614283,-0.0094,14.04,11.48,0,0,0,0,0,0,0
20200106,12.54,12.75,12.44,12.59,21752025.6,17279244,-0.004,13.9,11.38,0,0,0,0,0,0,0
20200107,12.53,12.92,12.53,12.74,21734900.8,17109781,0.0119,13.85,11.33,0,0,0,0,0,0,0
20200108,12.64,12.64,12.2,12.28,32600105.6,26367575,-0.0361,14.01,11.47,0,0,0,0,0,0,0
20200109,12.49,12.53,12.36,12.43,15945795.2,12819794,0.0122,13.51,11.05,0,0,0,0,0,0,0
20200110,12.49,12.75,12.42,12.68,24541742.4,19467923,0.0201,13.67,11.19,0,0,0,0,0,0,0
20200113,12.64,12.65,12.26,12.59,21872958.4,17634483,-0.0071,13.95,11.41,0,0,0,0,0,0,0
20200114,12.55,12.78,12.42,12.47,18702708.8,14890927,-0.0095,13.85,11.33,0,0,0,0,0,0,0
20200115,12.45,12.55,12.31,12.41,14855763.2,11993230,-0.0048,13.72,11.22,0,0,0,0,0,0,0
20200116,12.49,12.52,12.22,12.41,13698192.0,11041373,0.0,13.65,11.17,0,0,0,0,0,0,0
20200117,12.45,12.52,12.35,12.4,11488872.0,9240871,-0.0008,13.65,11.17,0,0,0,0,0,0,0
20200120,12.4,12.74,12.4,12.7,17697907.2,13988560,0.0242,13.64,11.16,0,0,0,0,0,0,0
20200121,12.68,12.71,11.96,12.0,32411824.0,26573987,-0.0551,13.97,11.43,0,0,0,0,0,0,0
20200122,11.93,12.19,11.8,12.14,14989937.6,12424564,0.0117,13.2,10.8,0,0,0,0,0,0,0
20200123,12.07,12.1,11.42,11.54,21022771.2,17899532,-0.0494,13.35,10.93,0,0,0,0,0,0,0
20200203,10.39,10.39,10.39,10.39,6536141.2,6290800,-0.0997,12.69,10.39,0,1,0,0,0,1,0
20200204,9.85,11.26,9.85,10.96,34430841.6,31890964,0.0549,11.43,9.35,0,0,0,0,1,0,0
20200205,10.97,11.16,10.85,10.93,21523403.2,19578928,-0.0027,12.06,9.86,0,0,0,0,0,0,0
20200206,10.96,11.09,10.72,11.02,18105734.4,16584891,0.0082,12.02,9.84,0,0,0,0,0,0,0
20200207,10.93,10.95,10.75,10.9,14595617.6,13443451,-0.0109,12.12,9.92,0,0,0,0,0,0,0
20200210,10.8,11.99,10.77,11.96,40477097.6,35003899,0.0972,11.99,9.81,0,0,0,1,1,0,0
20200211,11.95,11.95,11.65,11.81,30401145.6,25759920,-0.0125,13.16,10.76,0,0,0,0,0,0,0
20200212,11.77,11.9,11.68,11.84,21468936.0,18195376,0.0025,12.99,10.63,0,0,0,0,0,0,0
20200213,11.89,12.25,11.77,11.83,29013942.4,24205479,-0.0008,13.02,10.66,0,0,0,0,0,0,0
20200214,11.73,12.17,11.71,12.06,28339616.0,23679576,0.0194,13.01,10.65,0,0,0,0,0,0,0
20200217,12.07,12.26,11.97,12.26,30416806.4,25033558,0.0166,13.27,10.85,0,0,0,0,0,0,0
20200218,12.34,12.39,11.96,12.16,28908812.8,23853552,-0.0082,13.49,11.03,0,0,0,0,0,0,0
20200219,12.07,12.72,12.0,12.38,41636921.6,33454894,0.0181,13.38,10.94,0,0,0,0,0,0,0
20200220,12.33,12.45,12.08,12.42,27868112.0,22714608,0.0032,13.62,11.14,0,0,0,0,0,0,0
20200221,12.31,12.53,12.25,12.41,27221878.4,22003046,-0.0008,13.66,11.18,0,0,0,0,0,0,0
20200224,12.39,12.82,12.34,12.58,35591257.6,28347365,0.0137,13.65,11.17,0,0,0,0,0,0,0
20200225,12.3,12.35,11.9,12.23,31919241.6,26178612,-0.0278,13.84,11.32,0,0,0,0,0,0,0
20200226,12.02,12.85,11.98,12.48,57149100.8,45418932,0.0204,13.45,11.01,0,0,0,0,0,0,0
20200227,12.69,13.4,12.54,12.87,57062329.6,43997872,0.0312,13.73,11.23,0,0,0,0,0,0,0
20200228,12.47,13.11,12.36,12.39,45979660.8,36194586,-0.0373,14.16,11.58,0,0,0,0,0,0,0
20200302,12.44,13.63,12.44,13.63,88421702.4,65856654,0.1001,13.63,11.15,1,0,1,1,1,0,0
20200303,14.1,14.27,13.26,13.88,102447744.0,74388234,0.0183,14.99,12.27,0,0,0,0,0,0,0
20200304,13.59,14.41,13.55,14.15,77483846.4,55355305,0.0195,15.27,12.49,0,0,0,0,0,0,0
