date,open,high,low,close,amount,vol,gains,max,min,涨跌停,连涨天数,破板
20191212,9.52,9.75,9.41,9.6,3694636.0,3856068,,,,0,0,0
20191213,9.68,9.87,9.51,9.63,2352472.2,2446440,0.0031,10.56,8.64,0,0,0
20191216,9.73,10.22,9.72,10.11,4815859.2,4802601,0.0498,10.59,8.67,0,0,0
20191217,10.12,10.12,9.81,10.01,4801748.4,4829315,-0.0099,11.12,9.1,0,0,0
20191218,9.96,9.98,9.86,9.93,3060340.2,3089234,-0.008,11.01,9.01,0,0,0
20191219,9.96,10.1,9.85,9.97,2779687.8,2796828,0.004,10.92,8.94,0,0,0
20191220,10.13,10.3,10.03,10.12,3612059.2,3565614,0.015,10.97,8.97,0,0,0
20191223,10.17,10.7,10.03,10.2,4712874.0,4565172,0.0079,11.13,9.11,0,0,0
20191224,10.28,10.55,10.22,10.5,3762556.4,3619182,0.0294,11.22,9.18,0,0,0
20191225,10.5,10.54,10.22,10.3,3632558.8,3507000,-0.019,11.55,9.45,0,0,0
20191226,10.35,10.43,10.07,10.28,3385502.8,3302674,-0.0019,11.33,9.27,0,0,0
20191227,10.31,10.38,9.89,10.15,4672396.0,4561808,-0.0126,11.31,9.25,0,0,0
20191231,9.95,9.95,9.33,9.45,8839072.0,9205426,-0.069,11.16,9.14,0,0,0
20200102,9.49,10.3,9.37,9.95,8331964.0,8386701,0.0529,10.4,8.5,0,0,0
20200103,9.94,10.03,9.67,9.7,4884072.0,4989123,-0.0251,10.94,8.96,0,0,0
20200106,9.79,9.91,9.48,9.74,3690969.2,3801290,0.0041,10.67,8.73,0,0,0
20200107,9.74,9.87,9.69,9.77,2088822.2,2144813,0.0031,10.71,8.77,0,0,0
20200108,9.79,9.84,9.52,9.55,3254590.8,3372500,-0.0225,10.75,8.79,0,0,0
20200109,9.58,9.8,9.58,9.71,3512944.4,3616601,0.0168,10.5,8.6,0,0,0
20200110,9.74,10.1,9.72,9.91,5535424.8,5563649,0.0206,10.68,8.74,0,0,0
20200113,9.91,10.21,9.8,10.06,4159045.6,4168903,0.0151,10.9,8.92,0,0,0
20200114,10.08,10.27,9.97,10.17,3983444.8,3926757,0.0109,11.07,9.05,0,0,0
20200115,10.17,10.22,9.91,10.03,2545198.2,2542120,-0.0138,11.19,9.15,0,0,0
20200116,10.05,10.08,9.8,9.87,2361231.4,2383320,-0.016,11.03,9.03,0,0,0
20200117,9.87,10.03,9.83,9.91,1802085.0,1818586,0.0041,10.86,8.88,0,0,0
20200120,10.5,10.5,10.05,10.1,4965074.4,4876101,0.0192,10.9,8.92,0,0,0
20200121,10.14,10.24,9.92,9.93,2785051.2,2782800,-0.0168,11.11,9.09,0,0,0
20200122,9.95,10.05,9.66,9.96,2293171.4,2320400,0.003,10.92,8.94,0,0,0
20200123,9.96,10.02,9.42,9.6,2574261.8,2641866,-0.0361,10.96,8.96,0,0,0
20200203,8.65,9.13,8.64,8.9,6146589.2,6990625,-0.0729,10.56,8.64,0,0,0
20200204,9.11,9.79,9.11,9.79,7289408.0,7676570,0.1,9.79,8.01,1,1,0
20200205,10.18,10.77,9.6,10.43,13753331.2,13440197,0.0654,10.77,8.81,0,1,0
20200206,10.55,11.2,10.51,10.78,17448107.2,16083720,0.0336,11.47,9.39,0,0,0
20200207,10.95,10.95,10.19,10.42,13511201.6,12749563,-0.0334,11.86,9.7,0,0,0
20200210,11.18,11.18,10.55,10.59,12191866.4,11332876,0.0163,11.46,9.38,0,0,0
20200211,10.54,10.54,10.05,10.15,7813540.8,7644387,-0.0415,11.65,9.53,0,0,0
20200212,10.2,10.3,9.9,10.16,6084832.0,6024198,0.001,11.16,9.14,0,0,0
20200213,10.17,10.41,9.92,10.41,6920903.2,6820747,0.0246,11.18,9.14,0,0,0
20200214,10.27,11.45,10.27,11.45,24995027.2,22417121,0.0999,11.45,9.37,1,1,0
20200217,11.85,12.55,11.7,12.12,38762387.2,31936064,0.0585,12.6,10.3,0,0,0
20200218,11.83,13.33,11.81,13.06,36349763.2,29233252,0.0776,13.33,10.91,0,1,0
20200219,12.45,12.5,11.75,11.84,27866716.8,23018575,-0.0934,14.37,11.75,0,0,0
20200220,11.94,12.35,11.94,12.28,17018027.2,13952108,0.0372,13.02,10.66,0,0,0
20200221,11.9,13.0,11.9,12.69,21853921.6,17538155,0.0334,13.51,11.05,0,0,0
20200224,13.2,13.48,12.53,12.62,22765852.8,17555978,-0.0055,13.96,11.42,0,0,0
20200225,12.55,12.55,12.01,12.42,13082098.4,10639692,-0.0158,13.88,11.36,0,0,0
20200226,12.41,13.45,12.25,12.77,20745126.4,16067829,0.0282,13.66,11.18,0,0,0
20200227,12.76,12.89,11.88,12.29,11979864.0,9729469,-0.0376,14.05,11.49,0,0,0
20200228,12.41,13.32,12.19,12.55,29981174.4,23515724,0.0212,13.52,11.06,0,0,0
20200302,13.16,13.3,12.75,13.15,27333110.4,20890667,0.0478,13.81,11.3,0,0,0
