date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191217,16.4,17.8,16.16,16.84,43371792.0,25940121,,,,0,0,0,0,0,0,0
20191218,16.72,17.88,16.5,17.68,47613929.6,27748716,0.0499,18.52,15.16,0,0,0,0,0,0,0
20191219,17.4,18.95,17.28,17.99,50592678.4,27732501,0.0175,19.45,15.91,0,0,0,0,0,0,0
20191220,17.7,18.36,16.55,16.66,41469603.2,23997586,-0.0739,19.79,16.19,0,0,0,0,0,1,0
20191223,16.65,17.05,15.85,16.3,23356486.4,14079500,-0.0216,18.33,14.99,0,0,0,0,0,0,0
20191224,16.43,16.84,16.22,16.68,19404606.4,11716189,0.0233,17.93,14.67,0,0,0,0,0,0,0
20191225,16.68,16.87,16.18,16.49,20807632.0,12557531,-0.0114,18.35,15.01,0,0,0,0,0,0,0
20191226,16.36,16.57,16.08,16.5,17850568.0,10924416,0.0006,18.14,14.84,0,0,0,0,0,0,0
20191227,16.52,16.91,16.0,16.02,20555148.8,12463395,-0.0291,18.15,14.85,0,0,0,0,0,0,0
20191230,15.75,16.24,14.82,16.12,17664492.8,11351100,0.0062,17.62,14.42,0,0,0,0,0,0,0
20191231,16.24,16.26,15.63,15.87,11952552.0,7517800,-0.0155,17.73,14.51,0,0,0,0,0,0,0
20200102,16.12,17.26,15.96,16.93,26602828.8,15825901,0.0668,17.46,14.28,0,0,0,0,0,0,0
20200103,16.8,17.1,16.71,16.89,18413881.6,10902046,-0.0024,18.62,15.24,0,0,0,0,0,0,0
20200106,16.51,17.26,16.42,17.04,21582284.8,12741196,0.0089,18.58,15.2,0,0,0,0,0,0,0
20200107,17.09,17.76,16.82,17.67,30912019.2,17773847,0.037,18.74,15.34,0,0,0,0,0,0,0
20200108,17.45,17.45,16.45,16.54,23658641.6,13942002,-0.064,19.44,15.9,0,0,0,0,0,0,0
20200109,16.73,17.16,16.6,16.92,20111241.6,11910306,0.023,18.19,14.89,0,0,0,0,0,0,0
20200110,16.88,17.01,16.1,16.36,17146276.8,10406714,-0.0331,18.61,15.23,0,0,0,0,0,0,0
20200113,16.48,16.83,16.16,16.81,13761737.6,8317202,0.0275,18.0,14.72,0,0,0,0,0,0,0
20200114,16.81,17.08,16.71,16.88,15126315.2,8938652,0.0042,18.49,15.13,0,0,0,0,0,0,0
